CommitId;RefactoringType;RefactoringDetail
7ae75535efbb7a95ac62cfa1d0ccb626cc23e8c7;Rename Class;Rename Class	org.junit.tests.experimental.rules.StopwatchTest.DurationTest renamed to org.junit.rules.StopwatchTest.WrongDurationTest
15c925c4412d993a12e91a2a6c0168977402efec;Rename Class;Rename Class	org.junit.internal.runners.rules.RuleMemberValidator.MemberMustBeNonStatic renamed to org.junit.internal.runners.rules.RuleMemberValidator.MemberMustBeNonStaticOrAlsoClassRule
dc23211eb83c7d9f23f6a7031fedc091c6365bed;Rename Class;Rename Class	org.junit.internal.runners.rules.RuleFieldValidator renamed to org.junit.internal.runners.rules.RuleMemberValidator
dc23211eb83c7d9f23f6a7031fedc091c6365bed;Rename Class;Rename Class	org.junit.tests.experimental.rules.RuleFieldValidatorTest renamed to org.junit.tests.experimental.rules.RuleMemberValidatorTest
cfe6afadc81b72449c8b0cb96d51aa57f7a593b7;Rename Method;Rename Method	public testComparisonErrorOverlapingMatches() : void renamed to public testComparisonErrorOverlappingMatches() : void in class junit.tests.framework.ComparisonCompactorTest
cfe6afadc81b72449c8b0cb96d51aa57f7a593b7;Rename Method;Rename Method	public testComparisonErrorOverlapingMatchesContext() : void renamed to public testComparisonErrorOverlappingMatchesContext() : void in class junit.tests.framework.ComparisonCompactorTest
cfe6afadc81b72449c8b0cb96d51aa57f7a593b7;Rename Method;Rename Method	public testComparisonErrorOverlapingMatches2() : void renamed to public testComparisonErrorOverlappingMatches2() : void in class junit.tests.framework.ComparisonCompactorTest
cfe6afadc81b72449c8b0cb96d51aa57f7a593b7;Rename Method;Rename Method	public testComparisonErrorOverlapingMatches2Context() : void renamed to public testComparisonErrorOverlappingMatches2Context() : void in class junit.tests.framework.ComparisonCompactorTest
1d97da73fdafce8f5cf9d722f23c5cba41b26b70;Extract Interface;Extract Interface	org.junit.validator.TestClassValidator from classes [org.junit.validator.AnnotationsValidator]
1d97da73fdafce8f5cf9d722f23c5cba41b26b70;Extract Method;Extract Method	private applyValidators(errors List<Throwable>) : void extracted from protected collectInitializationErrors(errors List<Throwable>) : void in class org.junit.runners.ParentRunner
15bd929c08059a6c7bf83363e9b84d116ef46540;Move Class;Move Class	org.junit.tests.experimental.AssumptionViolatedExceptionTest moved to org.junit.AssumptionViolatedExceptionTest
